Tarih,Kumaş Kodu,Kalite Adı,Desen Adı,Varyant No,Firma Adı,Firma Ülkesi,Hammadde Kodu,Renk Adı,İplik Tipi,Kalite Tipi,Çözgü Adı,Kalite Grubu,Tezgah Kodu,İş Emri No,Proses Kodu,Sipariş No,Kumaş Grubu,İhtiyaç Kg
2024-09-02,1844-R21LF-R4-SD7244-7411,CAPRI-R4,CAPRI TR 101,7411,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721992,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-R21LF-R4-SD7244-7482,CAPRI-R4,CAPRI TR 101,7482,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721996,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-R21LF-R4-SD7244-7490,CAPRI-R4,CAPRI TR 101,7490,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721998,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-R21LF-R4-SD7244-74A6,CAPRI-R4,CAPRI TR 101,74A6,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722011,PP-06X-1,KRT-CAPRI,Jakarlı,1.519
2024-09-02,1844-R21LF-R4-SD7244-74J5,CAPRI-R4,CAPRI TR 101,74J5,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722020,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-R21LF-R4-SD7244-74N9,CAPRI-R4,CAPRI TR 101,74N9,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722027,PP-06X-1,KRT-CAPRI,Jakarlı,1.519
2024-09-02,2528-A4REK-A2-SD3664/1-N7A3,KOSEM-A2,KOSEM BR 208,N7A3,MECAM,BELGIUM,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KUKOKRE 2400 TEL,2400 CLAS,S035,1721379,PP-89Y,MECAM_00020,Jakarlı,4.913
2024-09-02,2528-A4REK-A2-SD3664/1-N7BD,KOSEM-A2,KOSEM BR 208,N7BD,MECAM,BELGIUM,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KUKOKRE 2400 TEL,2400 CLAS,S035,1721378,PP-89Y,MECAM_00020,Jakarlı,4.913
2024-09-02,3410-B6RG-EL-F3166/1-5629,EL.NAVARA RUGS-B,EL.KOZLU PS,5629,FARGOTEX RUGS,POLAND,BSS 0004 097,BUZ,ATKI,HALI,PAJ2002/SAMUR 3248 TEL,HALI 200,S116,1720862,D210X,FRGR_00240,Jakarlı,9.277
2024-09-02,48096-123-FY4311-BM01099,RAVIN-A,RAVIN 01,BM01099,BRÜHL&SIPPOLD GMBH,GERMANY,FRM 0003 004,KREM,ÇÖZGÜ,CEROTEX FASON,FRM/KREM BONE,4800 CLAS,S098,1721046,PP-89Y,BRUX_00049,Jakarlı,20.4
2024-09-02,48096-123-FY4311-BM01099,RAVIN-A,RAVIN 01,BM01099,BRÜHL&SIPPOLD GMBH,GERMANY,FRM 0003 004,KREM,ÇÖZGÜ,CEROTEX FASON,FRM/KREM BONE,4800 CLAS,S098,1721764,PP-89Y,BRUX_00049,Jakarlı,14.8
2024-09-02,48101-D3RBK-E4446/54-X1010,ANGOLA-D,ANGOLA 04,X1010,DLTOPTEKS MC CREARY,USA,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KREM BONE,4800 CLAS,S102,1721647,89YFFBB,DLTOPMC_00458,Armürlü,11.0
2024-09-02,48101-D3RBK-EL-E4446/61-X1010,ELB.ANGOLA-D,ELB.ANGOLA 04,X1010,QUAKER,BRAZIL,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KREM BONE,4800 CLAS,S098,1721047,D89Y-4,QUAK_00877,Armürlü,26.4
2024-09-02,4976-F24RH-F2-P4311X-X10E6,GABON-F2,GABON 225,X10E6,DE LEO,USA,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KREM BONE,4800 CLAS,S102,1721648,PP-K89YBB,LEO_06691,Jakarlı,9.9
2024-09-03,1803-R31G-R1-M1457-J7Q7,KING-R1,KING 01,J7Q7,HOME GROUP,LITHUANIA,BSS 0004 097,BUZ,ATKI,SATEN,NPE 1000/ZEBRA 1860 TEL,1800 CLASS,A28,1721137,14-04SL,FLE_01695,Armürlü,159.446
2024-09-03,1803-R31G-R3-M1457/2-T4Q7,KING-R3,KING 02,T4Q7,HOME GROUP,LITHUANIA,BSS 0004 097,BUZ,ATKI,SATEN,NPE 1000/KUMRU 1860 TEL,1800 CLASS,A23,1721093,14-04SL,FLE_01697,Armürlü,212.596
2024-09-03,1803-R31G-R3-M1457/2-T4Q7,KING-R3,KING 02,T4Q7,HOME GROUP,LITHUANIA,BSS 0004 097,BUZ,ATKI,SATEN,NPE 1000/KUMRU 1860 TEL,1800 CLASS,A23,1722977,14-04SL,FLE_01695,Armürlü,38.128
2024-09-03,1803-R31G-R3-M1457/2-T4Q7,KING-R3,KING 02,T4Q7,HOME GROUP,LITHUANIA,NPE 1000 449,KUMRU,ÇÖZGÜ,SATEN,NPE 1000/KUMRU 1860 TEL,1800 CLASS,A23,1721093,14-04SL,FLE_01697,Armürlü,186.831
2024-09-03,1803-R31G-R3-M1457/2-T4Q7,KING-R3,KING 02,T4Q7,HOME GROUP,LITHUANIA,NPE 1000 449,KUMRU,ÇÖZGÜ,SATEN,NPE 1000/KUMRU 1860 TEL,1800 CLASS,A23,1722977,14-04SL,FLE_01695,Armürlü,33.508
2024-09-03,1812-D41GC-D6-SD4310-7461,RCQ.MALTA-D6,RCQ.MALTA HX 104,7461,JAB ANSTOETZ,GERMANY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721465,PP-89Y,JABJ_01426,Jakarlı,26.466
2024-09-03,1812-S21EN-M4278-74A2,RCQ.MALTA-S,RCQ.MALTA 02,74A2,KÖKSAL MOBİLYA,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721472,41,KSAL_00008,Armürlü,132.329
2024-09-03,2528-A4REK-A2-SD3664/1-74A6,KOSEM-A2,KOSEM BR 208,74A6,MECAM,BELGIUM,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KARKREK 2400 TEL,2400 CLAS,S170,1721796,PP-89Y,MECAM_00020,Jakarlı,4.913
2024-09-03,2528-A4REK-A6-BS-SD3663/4-74A1A1,KOSEM-A6-BS,KOSEM BR 210,74A1A1,SILK CRAFTS,USA,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KARKREK 2400 TEL,2400 CLAS,S170,1721794,PP-89YBB-S,SILKCRAFTS_00092,Jakarlı,3.931
2024-09-03,2528-A4REK-A6-SD3905-7433Q3,KOSEM-A6,KOSEM BR 206,7433Q3,MECAM,BELGIUM,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KARKREK 2400 TEL,2400 CLAS,S170,1721795,PP-89Y,MECAM_00020,Jakarlı,4.913
